producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs,4,tmpfs,3,83.79048638660818,0.0,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs,5,tmpfs,3,83.79048638660818,0.0,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs,8,tmpfs,3,83.79048638660818,0.0,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs,40,tmpfs,3,83.79048638660818,0.0,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs,60,tmpfs,3,83.79048638660818,0.0,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs,4,beegfs,3,264.4328200344907,0.0,264.4328200344907
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs,5,beegfs,3,264.4328200344907,0.0,264.4328200344907
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs,8,beegfs,3,264.4328200344907,0.0,264.4328200344907
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs,40,beegfs,3,264.4328200344907,0.0,264.4328200344907
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs,60,beegfs,3,264.4328200344907,0.0,264.4328200344907
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd,4,ssd,3,1684.177514290227,0.0,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd,5,ssd,3,1684.177514290227,0.0,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd,8,ssd,3,1684.177514290227,0.0,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd,40,ssd,3,1684.177514290227,0.0,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd,60,ssd,3,1684.177514290227,0.0,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs-ssd,15,ssd,3,12117.004684816678,10432.82717052645,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs-beegfs,15,beegfs,3,16871.897938816972,16607.465118782482,264.4328200344907
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs-tmpfs,15,tmpfs,3,18317.477055716252,18233.686569329642,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs-beegfs,1,beegfs,3,43043.67582375026,42781.6366295901,262.0391941601524
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs-tmpfs,1,tmpfs,3,51727.41533687702,51643.624850490414,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd-beegfs,15,beegfs,3,53059.82113895578,52795.38831892129,264.4328200344907
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,beegfs-ssd,1,ssd,3,54572.668677966205,52888.49116367598,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd-beegfs,1,beegfs,3,80660.39875935481,80398.35956519465,262.0391941601524
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs-tmpfs,1,tmpfs,3,92153.71581568972,92069.9253293031,83.79048638660818
